Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-04-01","3,190","13,789","7.29","25","809","156","17","68","1,573"
"2016-04-02","2,523","5,609","2.63","13","660","251","0","0","969"
"2016-04-03","3,194","12,972","6.09","31","448","333","41","16","1,829"
"2016-04-04","3,132","11,546","5.93","34","744","217","19","40","1,537"
"2016-04-05","2,577","6,321","2.97","21","771","229","0","0","976"
"2016-04-06","3,324","13,850","7.03","44","650","293","11","42","1,855"
"2016-04-07","2,691","6,472","3.05","23","704","260","5","0","1,112"
"2016-04-08","3,621","15,943","8.31","27","696","281","16","61","2,158"
"2016-04-09","3,356","14,117","7.18","54","537","227","47","45","1,864"
"2016-04-10","2,612","6,733","3.16","20","735","260","10","0","1,091"
"2016-04-11","3,019","13,048","6.49","28","624","207","6","62","1,501"
"2016-04-12","3,035","12,101","6.04","29","709","260","4","38","1,517"
"2016-04-13","3,014","10,562","5.29","32","650","232","16","40","1,469"
"2016-04-14","3,116","10,197","4.86","35","673","218","49","30","1,549"
"2016-04-15","3,605","15,945","8.2","28","647","236","23","85","2,099"
"2016-04-16","3,432","14,358","6.75","36","479","315","57","40","2,046"
"2016-04-17","4,577","27,048","12.69","68","242","306","139","153","3,465"
"2016-04-18","3,217","13,919","7.07","19","659","304","8","38","1,753"
"2016-04-19","2,688","7,819","3.67","16","729","268","0","0","1,163"
"2016-04-20","3,322","13,827","7.04","28","696","261","29","40","1,833"
"2016-04-21","2,985","9,319","4.37","26","663","294","32","5","1,505"
"2016-04-22","3,279","14,826","7.77","29","714","253","12","48","1,774"
"2016-04-23","3,170","12,094","5.69","25","494","332","34","23","1,803"
"2016-04-24","2,955","9,110","4.27","17","575","169","30","17","865"
"2016-04-25","3,198","13,731","7","28","695","208","19","58","1,676"
"2016-04-26","2,604","6,296","2.95","11","674","253","0","0","1,047"
"2016-04-27","2,460","4,899","2.3","3","862","176","0","0","745"
"2016-04-28","3,059","11,624","5.48","27","694","306","23","20","1,614"
